Date,Open,High,Low,Close,Adj Close,Volume
2018-03-23,81.440002,81.610001,79.610001,79.669998,76.940758,11049000
2018-03-26,80.570000,81.430000,79.650002,81.320000,78.534248,9183500
2018-03-27,81.610001,81.849998,79.900002,80.360001,77.607132,10948400
2018-03-28,80.589996,81.570000,80.480003,80.790001,78.022400,10146800
2018-03-29,81.220001,81.989998,80.669998,81.400002,78.611504,6914900
2018-04-02,81.059998,81.480003,78.739998,79.550003,76.824883,11364900
2018-04-03,79.980003,80.910004,79.489998,80.760002,77.993439,8590700
2018-04-04,79.790001,82.139999,79.790001,81.910004,79.104034,9085800
2018-04-05,82.199997,82.269997,81.540001,81.849998,79.046097,8031300
2018-04-06,81.169998,81.570000,79.160004,79.879997,77.143570,12171800
2018-04-09,80.309998,81.790001,80.080002,80.669998,77.906509,6952600
2018-04-10,81.470001,82.349998,81.190002,82.029999,79.219925,8097800
2018-04-11,81.419998,81.910004,81.250000,81.360001,78.572868,6205800
2018-04-12,81.800003,82.300003,81.739998,81.910004,79.104034,5096900
2018-04-13,82.300003,82.370003,81.430000,81.870003,79.065414,7837000
2018-04-16,82.470001,82.820000,82.279999,82.519997,79.693123,7217200
2018-04-17,83.150002,83.339996,82.720001,83.160004,80.311218,6500900
2018-04-18,83.370003,83.519997,82.830002,83.230003,80.378807,4704500
2018-04-19,83.080002,83.160004,82.230003,82.529999,79.702789,5833600
2018-04-20,82.599998,82.720001,81.820000,82.089996,79.277855,5250500
2018-04-23,82.309998,82.669998,82.099998,82.410004,79.586906,9257300
2018-04-24,82.669998,82.730003,81.169998,81.790001,78.988136,8904800
2018-04-25,81.690002,82.199997,81.120003,82.160004,79.345474,8068800
2018-04-26,82.400002,83.519997,82.400002,83.199997,80.349838,9463300
2018-04-27,83.139999,83.669998,82.959999,83.540001,80.678200,6663300
2018-04-30,83.900002,83.949997,82.250000,82.260002,79.442047,7241000
2018-05-01,82.160004,82.449997,81.529999,82.220001,79.403412,8498000
2018-05-02,81.790001,81.849998,80.910004,81.089996,78.312119,11594300
2018-05-03,80.720001,80.730003,79.309998,80.360001,77.607132,13524100
2018-05-04,80.120003,81.269997,79.809998,81.000000,78.225197,7889500
2018-05-07,81.260002,81.580002,80.669998,80.879997,78.109314,5886700
2018-05-08,80.680000,80.750000,79.790001,80.269997,77.520203,9522300
2018-05-09,80.419998,81.080002,79.980003,80.730003,77.964462,11340200
2018-05-10,81.070000,82.169998,81.029999,81.809998,79.007454,7845500
2018-05-11,81.879997,83.190002,81.730003,83.029999,80.185661,10434000
2018-05-14,83.180000,83.930000,83.010002,83.580002,80.716827,11837600
2018-05-15,83.029999,83.129997,82.230003,82.500000,79.673820,8806800
2018-05-16,82.459999,83.250000,82.449997,82.959999,80.118065,7013600
2018-05-17,82.879997,83.129997,82.519997,82.989998,80.147034,6610400
2018-05-18,83.050003,83.370003,82.769997,83.199997,80.349838,5838900
2018-05-21,83.589996,83.750000,83.160004,83.279999,80.427094,6406500
2018-05-22,83.449997,83.550003,82.989998,83.120003,80.272591,5770200
2018-05-23,82.769997,83.419998,82.669998,83.389999,80.533340,8360500
2018-05-24,83.339996,83.480003,82.690002,83.059998,80.214630,7166500
2018-05-25,83.089996,83.459999,82.800003,82.940002,80.098755,6853300
2018-05-29,82.400002,82.550003,81.570000,82.089996,79.277855,18236800
2018-05-30,82.650002,83.510002,82.559998,83.320000,80.465729,13167700
2018-05-31,83.160004,83.230003,82.379997,82.410004,79.586906,11543500
2018-06-01,82.739998,83.389999,82.650002,83.360001,80.504364,8037800
2018-06-04,83.459999,83.790001,83.190002,83.669998,80.803734,7230800
2018-06-05,83.699997,83.879997,83.099998,83.500000,80.639557,5444400
2018-06-06,83.790001,84.529999,83.449997,84.440002,81.547363,7218900
2018-06-07,84.690002,84.769997,84.139999,84.550003,81.653587,7405600
2018-06-08,84.519997,85.099998,84.379997,85.040001,82.126808,6247100
2018-06-11,85.050003,85.610001,84.849998,85.199997,82.281326,7074400
2018-06-12,85.290001,85.290001,84.769997,85.150002,82.233040,6829200
2018-06-13,85.300003,85.720001,85.059998,85.169998,82.252350,10379200
2018-06-14,85.339996,85.660004,85.099998,85.610001,82.677284,9379800
2018-06-15,85.190002,85.500000,84.800003,85.459999,82.838188,9349300
2018-06-18,84.940002,84.940002,84.290001,84.639999,82.043343,7342600
2018-06-19,84.059998,84.889999,83.930000,84.860001,82.256599,6431700
2018-06-20,84.970001,85.239998,84.790001,85.040001,82.431068,5900800
2018-06-21,84.959999,84.970001,84.349998,84.550003,81.956108,7423400
2018-06-22,84.860001,85.260002,84.639999,84.930000,82.324455,9829800
2018-06-25,84.610001,84.940002,83.510002,84.150002,81.568382,9925100
2018-06-26,84.220001,84.279999,83.779999,83.889999,81.316360,5560100
2018-06-27,83.889999,84.320000,83.120003,83.180000,80.628136,7420500
2018-06-28,82.870003,83.500000,82.290001,83.290001,80.734764,9026900
2018-06-29,83.550003,84.199997,83.400002,83.459999,80.899551,6479300
2018-07-02,83.000000,83.769997,82.720001,83.720001,81.151573,9364700
2018-07-03,84.019997,84.309998,83.699997,83.919998,81.345436,3023100
2018-07-05,84.309998,84.879997,84.110001,84.790001,82.188744,7458600
2018-07-06,85.199997,86.160004,85.099998,86.010002,83.371323,9822500
2018-07-09,86.349998,86.809998,86.320000,86.639999,83.981995,7874400
2018-07-10,86.809998,87.010002,86.580002,86.970001,84.301857,6122900
2018-07-11,86.500000,86.589996,86.220001,86.279999,83.633034,6434500
2018-07-12,86.709999,87.300003,86.660004,87.239998,84.563576,4461600
2018-07-13,87.050003,87.589996,87.000000,87.400002,84.718666,6048700
2018-07-16,87.470001,87.470001,86.750000,86.870003,84.204941,5388500
2018-07-17,86.839996,87.480003,86.800003,87.349998,84.670212,5849300
2018-07-18,87.370003,87.440002,87.110001,87.419998,84.738052,7575700
2018-07-19,87.209999,87.389999,86.550003,86.930000,84.263092,5204000
2018-07-20,86.690002,86.889999,86.510002,86.760002,84.098305,4822600
2018-07-23,86.709999,87.050003,86.610001,86.940002,84.272781,3824600
2018-07-24,87.400002,87.879997,87.339996,87.730003,85.038559,6467100
2018-07-25,87.680000,88.870003,87.589996,88.849998,86.124191,9285900
2018-07-26,88.699997,88.910004,88.410004,88.599998,85.881859,5763000
2018-07-27,88.639999,88.639999,87.639999,87.959999,85.261497,5742900
2018-07-30,87.889999,88.180000,87.750000,88.010002,85.309959,5531200
2018-07-31,88.330002,89.050003,88.199997,88.930000,86.201736,6719100
2018-08-01,88.879997,89.279999,88.879997,88.949997,86.221115,5733000
2018-08-02,88.570000,89.470001,88.529999,89.279999,86.540993,5666200
2018-08-03,89.349998,89.879997,89.230003,89.809998,87.054726,5884800
2018-08-06,89.760002,90.169998,89.440002,89.970001,87.209831,4751100
2018-08-07,89.980003,90.279999,89.860001,89.980003,87.219521,5170300
2018-08-08,89.989998,90.250000,89.790001,90.120003,87.355232,5020400
2018-08-09,90.129997,90.379997,89.930000,90.019997,87.258278,5680300
2018-08-10,89.690002,90.160004,89.320000,89.629997,86.880264,5389500
2018-08-13,89.730003,90.089996,89.430000,89.660004,86.909348,6563900
2018-08-14,89.790001,90.239998,89.699997,90.080002,87.316460,5497700
2018-08-15,89.800003,90.040001,89.360001,89.930000,87.171059,6840600
2018-08-16,90.190002,90.930000,90.080002,90.809998,88.024048,6916700
2018-08-17,90.739998,91.370003,90.529999,91.089996,88.295464,5455300
2018-08-20,91.300003,91.559998,91.250000,91.389999,88.586273,8144900
2018-08-21,91.620003,91.660004,91.199997,91.389999,88.586273,6395900
2018-08-22,91.180000,91.680000,91.070000,91.480003,88.673500,3954300
2018-08-23,91.430000,91.669998,91.230003,91.449997,88.644417,6058300
2018-08-24,91.660004,91.889999,91.489998,91.889999,89.070930,4028900
2018-08-27,92.220001,92.290001,91.830002,92.220001,89.390808,4671300
2018-08-28,92.360001,92.389999,92.070000,92.269997,89.439262,4954100
2018-08-29,92.290001,92.970001,92.190002,92.870003,90.020866,5338500
2018-08-30,92.800003,93.110001,92.599998,92.800003,89.953018,5266100
2018-08-31,92.580002,92.860001,92.400002,92.779999,89.933609,5808100
2018-09-04,92.699997,92.760002,91.820000,92.040001,89.216316,6875500
2018-09-05,91.970001,92.410004,91.800003,92.410004,89.574982,10218900
2018-09-06,92.400002,92.599998,91.849998,92.410004,89.574982,5940300
2018-09-07,92.190002,92.639999,92.050003,92.550003,89.710678,5591100
2018-09-10,92.779999,92.949997,92.220001,92.309998,89.478035,4234000
2018-09-11,92.150002,92.410004,91.839996,92.230003,89.400497,5683900
2018-09-12,92.290001,92.860001,92.110001,92.690002,89.846390,11056600
2018-09-13,93.089996,93.839996,93.000000,93.839996,90.961090,10603800
2018-09-14,93.919998,93.919998,93.360001,93.529999,90.660614,5929000
2018-09-17,93.529999,93.540001,93.080002,93.190002,90.331039,5543000
2018-09-18,93.190002,93.970001,93.050003,93.730003,90.854477,5422900
2018-09-19,93.669998,93.870003,93.500000,93.599998,90.728462,4186600
2018-09-20,93.870003,94.570000,93.809998,94.510002,91.610558,5083000
2018-09-21,94.389999,94.480003,94.070000,94.269997,91.734131,8579100
2018-09-24,94.209999,94.650002,94.080002,94.459999,91.919014,5392600
2018-09-25,94.589996,94.730003,94.070000,94.169998,91.636826,5215900
2018-09-26,94.349998,95.120003,94.180000,94.379997,91.841171,10880500
2018-09-27,94.510002,95.120003,94.400002,94.860001,92.308258,7168800
2018-09-28,94.669998,95.209999,94.629997,95.150002,92.590462,5995800
2018-10-01,95.510002,96.059998,95.339996,95.620003,93.047813,7307100
2018-10-02,95.620003,95.699997,95.330002,95.510002,92.940773,5572700
2018-10-03,95.830002,96.000000,95.180000,95.330002,92.765610,6367500
2018-10-04,95.260002,95.300003,93.910004,94.400002,91.860641,10976400
2018-10-05,94.480003,94.970001,93.699997,94.290001,91.753578,12291000
2018-10-08,94.169998,94.519997,93.459999,94.250000,91.714668,11924000
2018-10-09,94.000000,94.739998,93.709999,94.410004,91.870369,7463900
2018-10-10,94.400002,94.510002,92.120003,92.180000,89.700356,22549300
2018-10-11,91.930000,92.139999,89.040001,89.690002,87.277328,46581800
2018-10-12,90.769997,91.410004,90.019997,91.070000,88.620209,20797300
2018-10-15,90.919998,91.320000,90.370003,90.440002,88.007149,13909700
2018-10-16,91.139999,93.080002,91.129997,92.919998,90.420433,13505900
2018-10-17,92.860001,93.639999,92.389999,93.410004,90.897270,14232300
2018-10-18,93.360001,93.370003,91.610001,92.349998,89.865768,14455600
2018-10-19,92.510002,92.830002,91.389999,91.510002,89.048370,11318600
2018-10-22,91.500000,91.669998,90.339996,90.760002,88.318550,8288300
2018-10-23,89.599998,90.709999,88.879997,90.269997,87.841736,15424500
2018-10-24,90.230003,90.750000,87.180000,87.290001,84.941895,17431900
2018-10-25,87.279999,89.029999,86.269997,88.419998,86.041496,15725100
2018-10-26,87.599998,88.220001,86.349998,87.419998,85.068390,25507900
2018-10-29,88.430000,89.080002,86.410004,87.639999,85.282478,14024300
2018-10-30,87.650002,88.720001,87.199997,88.580002,86.197189,15432000
2018-10-31,89.290001,89.650002,88.629997,88.699997,86.313965,13460700
2018-11-01,89.000000,89.970001,88.970001,89.820000,87.403831,9668500
2018-11-02,90.690002,90.839996,88.669998,89.260002,86.858902,12953000
2018-11-05,89.379997,90.449997,89.379997,90.050003,87.627647,7783500
2018-11-06,89.930000,90.610001,89.800003,90.510002,88.075279,7980500
2018-11-07,91.349998,93.250000,91.290001,93.169998,90.663727,13310600
2018-11-08,93.000000,93.559998,92.870003,93.220001,90.712372,7345600
2018-11-09,93.110001,93.260002,92.500000,92.949997,90.449638,8486500
2018-11-12,92.809998,92.949997,91.480003,91.690002,89.223534,8423200
2018-11-13,92.000000,92.370003,90.779999,91.050003,88.600754,14227000
2018-11-14,91.610001,91.620003,89.889999,90.320000,87.890388,11664000
2018-11-15,89.680000,91.230003,88.830002,91.120003,88.668869,15563900
2018-11-16,90.959999,92.480003,90.910004,92.040001,89.564110,11323200
2018-11-19,92.129997,92.190002,90.470001,90.870003,88.425598,8821000
2018-11-20,90.300003,90.970001,89.809998,90.019997,87.598442,11604300
2018-11-21,90.309998,90.320000,89.489998,89.510002,87.102173,9345100
2018-11-23,89.029999,90.180000,88.980003,89.639999,87.228676,3939500
2018-11-26,90.360001,90.750000,89.980003,90.510002,88.075279,7141200
2018-11-27,90.209999,91.449997,89.879997,91.449997,88.989983,9262000
2018-11-28,91.720001,93.680000,91.699997,93.650002,91.130806,11870400
2018-11-29,93.430000,94.510002,93.300003,93.959999,91.432465,8796000
2018-11-30,93.900002,95.870003,93.800003,95.870003,93.291092,15875900
2018-12-03,95.809998,95.809998,94.860001,95.410004,92.843468,12158200
2018-12-04,95.389999,95.919998,93.110001,93.279999,90.770752,15011300
2018-12-06,92.120003,92.930000,90.139999,92.930000,90.430183,18492900
2018-12-07,92.669998,92.800003,90.110001,90.559998,88.123924,14930800
2018-12-10,90.610001,91.250000,88.650002,90.910004,88.464516,15372000
2018-12-11,91.669998,92.279999,90.540001,91.190002,88.736992,13632300
2018-12-12,92.199997,93.169998,91.910004,91.970001,89.496002,12581000
2018-12-13,92.220001,92.730003,91.440002,92.059998,89.583572,11567100
2018-12-14,91.160004,91.239998,88.690002,88.959999,86.566963,19422700
2018-12-17,88.040001,88.779999,86.589996,87.190002,84.844589,22089500
2018-12-18,87.940002,88.099998,85.599998,86.430000,84.105034,24712500
2018-12-19,86.599998,87.639999,84.529999,85.300003,83.005432,23075600
2018-12-20,84.910004,85.260002,83.500000,84.099998,81.837708,25321600
2018-12-21,83.849998,85.269997,82.510002,82.680000,80.821091,28909200
2018-12-24,82.129997,82.440002,80.650002,80.699997,78.885597,14235500
2018-12-26,81.000000,84.300003,80.610001,84.220001,82.326462,20575100
2018-12-27,83.230003,85.199997,82.099998,85.150002,83.235558,14045700
2018-12-28,85.699997,86.440002,84.900002,85.250000,83.333298,15770600
2018-12-31,85.730003,86.589996,85.669998,86.510002,84.564980,10163100
2019-01-02,85.180000,85.830002,84.269997,85.199997,83.284431,14179900
2019-01-03,85.320000,85.500000,83.250000,83.470001,81.593338,17668000
2019-01-04,84.449997,86.430000,84.410004,85.959999,84.027336,16262600
2019-01-07,85.989998,87.099998,85.730003,86.290001,84.349915,12387200
2019-01-08,86.980003,87.250000,86.000000,86.959999,85.004860,13371000
2019-01-09,87.339996,87.860001,87.089996,87.349998,85.386093,11259700
2019-01-10,86.959999,87.580002,86.519997,87.519997,85.552254,10396800
2019-01-11,87.110001,87.839996,86.949997,87.809998,85.835747,7187900
2019-01-14,87.279999,87.320000,86.830002,86.839996,84.887543,5449000
2019-01-15,86.959999,88.419998,86.940002,88.400002,86.412483,10540600
2019-01-16,88.519997,88.900002,88.180000,88.239998,86.256081,8288900
2019-01-17,88.000000,89.389999,87.930000,89.019997,87.018539,8731600
2019-01-18,89.680000,90.129997,89.010002,90.080002,88.054718,13367500
2019-01-22,89.449997,89.620003,88.839996,89.459999,87.448654,12244500
2019-01-23,89.629997,90.050003,88.589996,89.559998,87.546394,7722800
2019-01-24,89.470001,89.550003,88.389999,88.809998,86.813263,11307000
2019-01-25,89.250000,89.250000,88.660004,88.919998,86.920784,7241900
2019-01-28,88.309998,88.400002,87.489998,87.910004,85.933510,7113800
2019-01-29,87.910004,88.410004,87.660004,88.339996,86.353828,11099200
2019-01-30,88.669998,89.800003,88.449997,89.550003,87.536636,11706500
2019-01-31,89.449997,90.879997,89.360001,90.669998,88.631439,13409900
2019-02-01,90.779999,90.959999,90.129997,90.750000,88.709641,9386500
2019-02-04,90.760002,90.760002,89.720001,90.489998,88.455490,9308600
2019-02-05,90.639999,91.150002,90.339996,90.360001,88.328415,8921400
2019-02-06,90.199997,90.809998,90.089996,90.769997,88.729195,6135900
2019-02-07,90.180000,90.330002,89.290001,89.769997,87.751678,9511700
2019-02-08,89.419998,89.949997,89.290001,89.940002,87.917854,7284200
2019-02-11,90.139999,90.199997,89.580002,89.830002,87.810333,5017400
2019-02-12,90.220001,91.110001,90.059998,91.059998,89.012665,9093200
2019-02-13,91.239998,91.529999,90.849998,91.260002,89.208183,6435600
2019-02-14,91.029999,91.879997,90.900002,91.470001,89.413460,6938600
2019-02-15,92.160004,92.900002,91.470001,92.849998,90.762428,8234200
2019-02-19,92.599998,92.989998,92.589996,92.629997,90.547379,6284100
2019-02-20,92.400002,92.639999,92.059998,92.519997,90.439850,6959900
2019-02-21,92.190002,92.250000,91.300003,91.709999,89.648071,8368500
2019-02-22,91.889999,92.629997,91.779999,92.550003,90.469177,6488100
2019-02-25,93.019997,93.239998,92.610001,92.680000,90.596252,7652600
2019-02-26,92.470001,92.720001,92.239998,92.349998,90.273674,7288000
2019-02-27,92.040001,92.360001,91.610001,91.919998,89.853340,9827600
